n, time
7390,7755
7400,7723
7410,8147
7420,8056
7430,7798
7440,7764
7450,7796
7460,8023
7470,7804
7480,8888
7490,7963
7500,7839
7510,7844
7520,7876
7530,9891
7540,7923
7550,7911
7560,7977
7570,7921
7580,8160
7590,8311
7600,7936
7610,8117
7620,8055
7630,8000
7640,7994
7650,8189
7660,8092
7670,8020
7680,8006
7690,8037
7700,8235
7710,8059
7720,8411
7730,8157
7740,8355
7750,8215
7760,8092
7770,8123
7780,8232
7790,8113
7800,8152
7810,8443
7820,8169
7830,8262
7840,8188
7850,8168
7860,8462
7870,8254
7880,8498
7890,8212
7900,8581
7910,8265
7920,8583
7930,8303
7940,8272
7950,9035
7960,9221
7970,9234
7980,9537
7990,13294
8000,9271
8010,9314
8020,9304
8030,9268
8040,9242
8050,9260
8060,9257
8070,9774
8080,10884
8090,11384
8100,8911
8110,8499
8120,9067
8130,9672
8140,9517
8150,9578
8160,9562
8170,17037
8180,12469
8190,8948
8200,8597
8210,9070
8220,8551
8230,8597
8240,8546
8250,8855
8260,8698
8270,8833
8280,8602
8290,8664
8300,8948
8310,8636
8320,8760
8330,8672
8340,11428
8350,10749
8360,9834
8370,10307
8380,10265
8390,11141
8400,16463
8410,19922
8420,11621
8430,12065
8440,10156
8450,9204
8460,8938
8470,8875
8480,8809
8490,9027
8500,9126
8510,8817
8520,8896
8530,9048
8540,8940
8550,8905
8560,9031
8570,8912
8580,8914
8590,9335
8600,9105
8610,8962
8620,9012
8630,9054
8640,9268
8650,9031
8660,9038
8670,9028
8680,9017
8690,9064
8700,9007
8710,9091
8720,9210
8730,9142
8740,9069
8750,9122
8760,9166
8770,9097
8780,9180
8790,9281
8800,9124
8810,9314
8820,9138
8830,9168
8840,9872
8850,9608
8860,9233
8870,9805
8880,9342
8890,9221
8900,9358
8910,11360
8920,9305
8930,9255
8940,9285
8950,9452
8960,9388
8970,9463
8980,9346
8990,9372
9000,9460
9010,9368
9020,9649
9030,10794
9040,9725
9050,9423
9060,9416
9070,9493
9080,9445
9090,9445
9100,9500
9110,10974
9120,10336
9130,9760
9140,9490
9150,10508
9160,10606
9170,12913
9180,11905
9190,15104
9200,10500
9210,9744
9220,9836
9230,9676
9240,9806
9250,9886
9260,9655
9270,9838
9280,10385
9290,10730
9300,10918
9310,10070
9320,9922
9330,11803
9340,9850
9350,9689
9360,9784
9370,9722
9380,9927
9390,9753
9400,9897
9410,10362
9420,11245
9430,9854
9440,9773
9450,9850
9460,9818
9470,9952
9480,9856
9490,9840
9500,10015
9510,9994
9520,10312
9530,9924
9540,9892
9550,9899
9560,9935
9570,9940
9580,10462
9590,9983
9600,10010
9610,10059
9620,9959
9630,9970
9640,10027
9650,10010
9660,9995
9670,10072
9680,10069
9690,10035
9700,10090
9710,10224
9720,10111
9730,10085
9740,10104
9750,10120
9760,10114
9770,10284
9780,10214
9790,10274
9800,10146
9810,10198
9820,10177
9830,10197
9840,10188
9850,10258
9860,10253
9870,10393
9880,10250
9890,10273
9900,10257
9910,10258
9920,10324
9930,10419
9940,10330
9950,10832
9960,10348
9970,10414
9980,10353
9990,10338
